"DATE_NAME","DATE_CODE","GEOGRAPHY_NAME","GEOGRAPHY_CODE","SEX_NAME","AGE_NAME","OBS_VALUE","OBS_STATUS"
"2024","2024","South Kesteven","E07000141","Total","All ages",147151,"A"
"2024","2024","West Lindsey","E07000142","Total","All ages",99208,"A"
"2024","2024","Corby","E07000150","Total","All ages",,"Q"
"2024","2024","Daventry","E07000151","Total","All ages",,"Q"
"2024","2024","East Northamptonshire","E07000152","Total","All ages",,"Q"
"2024","2024","Kettering","E07000153","Total","All ages",,"Q"
"2024","2024","Northampton","E07000154","Total","All ages",,"Q"
"2024","2024","South Northamptonshire","E07000155","Total","All ages",,"Q"
"2024","2024","Wellingborough","E07000156","Total","All ages",,"Q"
"2024","2024","Ashfield","E07000170","Total","All ages",129572,"A"
"2024","2024","Bassetlaw","E07000171","Total","All ages",124937,"A"
"2024","2024","Broxtowe","E07000172","Total","All ages",114565,"A"
"2024","2024","Gedling","E07000173","Total","All ages",120179,"A"
"2024","2024","Mansfield","E07000174","Total","All ages",113138,"A"
"2024","2024","Newark and Sherwood","E07000175","Total","All ages",127886,"A"
"2024","2024","Rushcliffe","E07000176","Total","All ages",126736,"A"
"2024","2024","Herefordshire, County of","E06000019","Total","All ages",191047,"A"
"2024","2024","Shropshire","E06000051","Total","All ages",332455,"A"
"2024","2024","Stoke-on-Trent","E06000021","Total","All ages",270425,"A"
"2024","2024","Telford and Wrekin","E06000020","Total","All ages",195952,"A"
"2024","2024","Cannock Chase","E07000192","Total","All ages",104088,"A"
"2024","2024","East Staffordshire","E07000193","Total","All ages",129659,"A"
"2024","2024","Lichfield","E07000194","Total","All ages",111932,"A"
"2024","2024","Newcastle-under-Lyme","E07000195","Total","All ages",127727,"A"
"2024","2024","South Staffordshire","E07000196","Total","All ages",114423,"A"
"2024","2024","Stafford","E07000197","Total","All ages",141556,"A"
"2024","2024","Staffordshire Moorlands","E07000198","Total","All ages",96651,"A"
"2024","2024","Tamworth","E07000199","Total","All ages",81117,"A"
"2024","2024","North Warwickshire","E07000218","Total","All ages",67117,"A"
"2024","2024","Nuneaton and Bedworth","E07000219","Total","All ages",141565,"A"
"2024","2024","Rugby","E07000220","Total","All ages",122378,"A"
"2024","2024","Stratford-on-Avon","E07000221","Total","All ages",146258,"A"
"2024","2024","Warwick","E07000222","Total","All ages",154889,"A"
"2024","2024","Birmingham","E08000025","Total","All ages",1183618,"A"
"2024","2024","Coventry","E08000026","Total","All ages",369026,"A"
"2024","2024","Dudley","E08000027","Total","All ages",331930,"A"
"2024","2024","Sandwell","E08000028","Total","All ages",353860,"A"
"2024","2024","Solihull","E08000029","Total","All ages",221242,"A"
"2024","2024","Walsall","E08000030","Total","All ages",295678,"A"
"2024","2024","Wolverhampton","E08000031","Total","All ages",281251,"A"
"2024","2024","Bromsgrove","E07000234","Total","All ages",101685,"A"
"2024","2024","Malvern Hills","E07000235","Total","All ages",83227,"A"
"2024","2024","Redditch","E07000236","Total","All ages",87847,"A"
"2024","2024","Worcester","E07000237","Total","All ages",106671,"A"
"2024","2024","Wychavon","E07000238","Total","All ages",138017,"A"
"2024","2024","Wyre Forest","E07000239","Total","All ages",103913,"A"
"2024","2024","Bedford","E06000055","Total","All ages",194976,"A"
"2024","2024","Central Bedfordshire","E06000056","Total","All ages",315877,"A"
"2024","2024","Luton","E06000032","Total","All ages",239090,"A"
"2024","2024","Peterborough","E06000031","Total","All ages",223655,"A"
"2024","2024","Southend-on-Sea","E06000033","Total","All ages",185256,"A"
"2024","2024","Thurrock","E06000034","Total","All ages",180989,"A"
"2024","2024","Cambridge","E07000008","Total","All ages",149352,"A"
"2024","2024","East Cambridgeshire","E07000009","Total","All ages",92906,"A"
"2024","2024","Fenland","E07000010","Total","All ages",104896,"A"
"2024","2024","Huntingdonshire","E07000011","Total","All ages",190619,"A"
"2024","2024","South Cambridgeshire","E07000012","Total","All ages",172544,"A"
"2024","2024","Basildon","E07000066","Total","All ages",193632,"A"
"2024","2024","Braintree","E07000067","Total","All ages",164304,"A"
"2024","2024","Brentwood","E07000068","Total","All ages",79326,"A"
"2024","2024","Castle Point","E07000069","Total","All ages",90581,"A"
"2024","2024","Chelmsford","E07000070","Total","All ages",188803,"A"
"2024","2024","Colchester","E07000071","Total","All ages",200222,"A"
"2024","2024","Epping Forest","E07000072","Total","All ages",137451,"A"
"2024","2024","Harlow","E07000073","Total","All ages",98235,"A"
"2024","2024","Maldon","E07000074","Total","All ages",69131,"A"
"2024","2024","Rochford","E07000075","Total","All ages",89815,"A"
