metric_key,metric_family,metric_label,source_system,source_dataset,table_code,geography_level,period_type,unit,aggregation_method,denominator_metric_key,is_active,notes
total_population,Population,Total population,Nomis,pestnew,NM_31_1,local_authority_district,annual,persons,sum,,TRUE,"Nomis dataset NM_31_1 (pestnew); queried as latest all-ages total population at LAD level."
working_age_population,Population,Working-age population,Nomis,apsnew,T01,local_authority_district,rolling_year,persons,sum,,TRUE,"APS table T01 count for all people aged 16-64 at LAD level from NM_17_1."
employment_rate,Labour Market,Employment rate,Nomis,apsnew,NM_17_5,local_authority_district,rolling_year,proportion,population_weighted_average,working_age_population,TRUE,"APS percentage-series variable 'Employment rate - aged 16-64' from NM_17_5 with explicit numerator and denominator measures."
unemployment_rate,Labour Market,Unemployment rate,Nomis,apsnew,NM_17_5,local_authority_district,rolling_year,proportion,population_weighted_average,economic_activity_population_internal,TRUE,"APS percentage-series variable 'Unemployment rate - aged 16-64' from NM_17_5 with explicit numerator and denominator measures."
economic_activity_rate,Labour Market,Economic activity rate,Nomis,apsnew,NM_17_5,local_authority_district,rolling_year,proportion,population_weighted_average,working_age_population,TRUE,"APS percentage-series variable 'Economic activity rate - aged 16-64' from NM_17_5 with explicit numerator and denominator measures."
nvq4_plus_share,Qualifications,NVQ4+ share,Nomis,apsnew,NM_17_5,local_authority_district,rolling_year,proportion,population_weighted_average,rqf_population_16_64_internal,TRUE,"APS percentage-series variable '% with RQF4+ - aged 16-64' from NM_17_5 with explicit numerator and denominator measures."
no_qualifications_share,Qualifications,No qualifications share,Nomis,apsnew,NM_17_5,local_authority_district,rolling_year,proportion,population_weighted_average,rqf_population_16_64_internal,TRUE,"APS percentage-series variable '% with no qualifications (RQF) - aged 16-64' from NM_17_5 with explicit numerator and denominator measures."
professional_occupations_share,Occupation Profile,Professional occupations share,Nomis,apsnew,NM_17_5,local_authority_district,rolling_year,proportion,population_weighted_average,employment_population_internal,TRUE,"APS percentage-series variable '% all in employment who are - 2: professional occupations (SOC2020)' from NM_17_5 with explicit numerator and denominator measures."
